count;word0;word1
324;mov;mov
88;lps;mov
81;mov;lps
81;mov;f11
81;add;lpe
68;add;add
66;f21;mov
65;mov;add
63;mov;f21
63;lpe;STOP
63;START;mov
54;f11;mov
45;f31;mov
44;mov;f31
21;div;mov
18;f11;f11
14;mov;cmp
13;cmp;mov
12;lpe;mov
12;lpe;add
11;mov;mul
10;pow;mov
10;mov;pow
10;mov;div
10;f21;f21
10;f11;f21
7;f41;lpe
7;f11;sub
7;f11;div
5;mul;mul
5;mul;mov
5;mul;f41
5;mul;f31
5;f31;cmp
5;f11;mul
5;cmp;lps
5;cmp;cmp
4;sub;div
4;f21;f11
4;f21;add
4;div;div
3;sub;mov
3;cmp;mul
2;mul;lps
2;mov;f41
2;f11;f31
1;mul;cmp
1;mul;add
1;mov;f12
1;lpe;f11
1;f31;f21
1;f12;mov
1;f11;cmp
1;add;mov
