count;word0;word1
95;add $81,100;add $82,100
91;lps $80;mov $0,$$81
91;lpe;STOP
90;add $82,100;lpe
86;mov $$82,$0;add $81,100
86;START;mov $80,$99
85;mov $82,102;lps $80
85;mov $81,100;mov $82,102
85;mov $80,$99;mov $81,100
29;mov $0,$$81;mov $1,$0
12;mov $32,$1;f31 $30,101150
10;mov $1,$0;f11 $1,101060
9;mov $0,$$81;f11 $0,101160
8;mov $3,5;f20 $2,1033
8;mov $3,$0;f11 $3,101001
8;mov $2,$0;f11 $2,101000
6;mov $0,$$81;mov $5,$0
6;f31 $0,101200;mov $$82,$0
6;f21 $0,101040;mov $$82,$0
6;f11 $1,101060;mov $2,$0
6;f11 $0,101140;mov $$82,$0
6;add $82,100;add $83,100
5;mov $82,101;lps $80
5;mov $81,100;mov $82,101
5;mov $80,$97;mov $81,100
5;mov $40,0;mov $80,$97
5;mov $2,$0;f11 $2,101001
5;mov $1,$0;mov $2,$0
5;mov $1,$0;f11 $1,101000
5;mov $0,$$81;mov $1,$$82
5;f21 $0,101030;mov $$82,$0
5;add $83,100;lpe
5;START;mov $40,0
4;mov $7,0;mov $6,$3
4;mov $6,$3;mov $5,$2
4;mov $5,$2;f31 $5,101010
4;mov $5,$0;f11 $4,101000
4;mov $4,5;f20 $3,1033
4;mov $4,$0;mov $5,$0
4;mov $31,$20;mov $32,$1
4;mov $31,$15;mov $32,$1
4;mov $30,$25;mov $31,$20
4;mov $26,$3;f21 $25,101221
4;mov $26,$2;f21 $25,101223
4;mov $25,$0;mov $26,$3
4;mov $20,$0;mov $21,$3
4;mov $2,5;f20 $1,1033
4;mov $2,$20;f31 $0,101150
4;mov $16,$3;f21 $15,101220
4;mov $16,$2;f21 $15,101223
4;mov $15,$0;mov $16,$3
4;mov $11,$3;f21 $10,101220
4;mov $11,$2;f21 $10,101222
4;mov $11,$1;f21 $10,101251
4;mov $10,$0;mov $11,$3
4;mov $10,$0;mov $11,$1
4;mov $1,$4;f21 $0,101220
4;mov $1,$0;f11 $1,101191
4;mov $1,$0;f11 $1,101190
4;mov $0,$30;mov $$82,$0
4;mov $0,$10;mov $$82,$0
4;mov $0,$$81;mov $1,0
4;lpe;mov $80,$99
4;f31 $5,101010;mov $10,$0
4;f31 $30,101150;mov $31,$15
4;f31 $30,101150;mov $0,$30
4;f31 $10,102110;mov $0,$10
4;f31 $0,101150;mov $$82,$0
4;f31 $0,101051;mov $$82,$0
4;f21 $25,101223;mov $30,$25
4;f21 $25,101221;mov $26,$2
4;f21 $20,101222;mov $25,$0
4;f21 $15,101223;mov $20,$0
4;f21 $15,101220;mov $16,$2
4;f21 $10,101222;mov $15,$0
4;f21 $10,101220;mov $11,$2
4;f21 $0,101222;mov $$82,$0
