count;word0;word2
62;mov $81,100;lps $80
62;add $81,10;lpe
57;mov $82,102;mov $0,$$81
57;mov $80,$99;mov $82,102
57;mov $$82,$0;add $82,10
57;add $82,10;STOP
52;START;mov $81,100
14;lps $80;mov $1,$0
11;mov $0,$$81;mov $$82,$0
7;lps $80;f11 $0,101160
6;lpe;lpe
6;cmp $33,3;div $34,$33
5;mov $82,101;mov $0,$$81
5;mov $80,$97;mov $82,101
5;mov $40,0;mov $81,100
5;lps $80;mov $5,$0
5;lps $80;mov $1,$$82
5;f31 $0,101200;add $81,10
5;f11 $0,101140;add $81,10
5;START;mov $80,$97
4;mov $1,1;mov $$82,$0
4;mov $0,$$81;mov $2,$0
4;mov $0,$$81;f11 $1,101190
4;lpe;mov $81,100
4;f31 $0,101051;add $81,10
4;f21 $0,101170;add $81,10
4;f21 $0,101052;add $81,10
4;f21 $0,101040;add $81,10
4;add $82,10;mov $80,$99
3;pow $1,2;f31 $0,101010
3;pow $0,2;pow $1,2
3;mul $3,$21;lpe
3;mul $2,$5;mov $$82,$0
3;mul $2,$20;mul $3,$21
3;mul $1,$5;f31 $0,101200
3;mov $9,$20;mov $3,$19
3;mov $8,$21;mov $10,0
3;mov $5,$11;cmp $3,$22
3;mov $5,$0;f11 $5,101001
3;mov $41,$0;add $81,10
3;mov $4,$10;f31 $3,101002
3;mov $4,$0;f11 $4,101000
3;mov $34,1;mov $33,$21
3;mov $34,1;mov $0,$20
3;mov $33,$21;mov $34,1
3;mov $33,$20;mov $34,1
3;mov $3,$19;mov $5,$11
3;mov $3,$11;f41 $0,101151
3;mov $21,$0;mov $33,$20
3;mov $20,$0;mov $21,$0
3;mov $2,0;mov $11,0
3;mov $2,$10;mov $3,$11
3;mov $2,$0;mul $1,$5
3;mov $11,0;lps $8
3;mov $10,0;lps $9
3;mov $1,$40;mov $$82,$0
3;mov $1,$21;mov $2,0
3;mov $1,$19;mul $2,$20
3;mov $1,$0;mov $2,$0
3;mov $1,$0;f21 $0,101040
3;mov $1,$$82;mov $41,$0
3;mov $0,$20;mov $1,$21
3;mov $0,$$81;mov $4,$0
3;mov $0,$$81;f11 $5,101240
3;mov $0,$$81;f11 $1,101060
3;mov $0,$$81;f11 $0,101140
3;lps $9;mov $4,$10
3;lps $80;mov $10,$0
3;lps $80;f11 $0,102001
3;lps $80;f11 $0,102000
3;lps $8;mov $9,$20
3;lps $3;mov $2,$10
3;lpe;add $81,10
3;f41 $0,101151;add $10,1
3;f31 $0,101010;mov $8,$21
3;f21 $40,101030;add $82,10
3;f21 $0,101222;add $81,10
3;f21 $0,101220;f21 $0,101222
3;f11 $5,101240;mov $1,$0
3;f11 $5,101001;div $5,2
