count;word0;word1;word2
68;10;10;NONE
63;102;NONE;$$81
63;100;102;NONE
63;10;NONE;STOP
63;$99;100;102
63;$0;10;10
59;NONE;$0;10
58;START;$99;100
32;NONE;$$81;$0
27;NONE;NONE;$0
23;$$81;$0;NONE
22;$0;NONE;NONE
21;NONE;1;NONE
21;NONE;$0;NONE
19;$0;NONE;$0
18;NONE;$$81;NONE
15;$0;$0;NONE
10;NONE;$19;$10
10;$$81;NONE;$0
9;1;NONE;$0
9;$$81;$0;$0
8;1;NONE;1
8;$0;$3;NONE
7;NONE;NONE;1
7;NONE;$2;NONE
7;NONE;$0;$3
7;3;NONE;NONE
7;$3;NONE;$2
7;$0;NONE;1
6;NONE;0;$21
6;3;1;$33
6;2;0;NONE
6;0;$21;NONE
6;$5;NONE;$0
6;$$81;NONE;NONE
5;START;0;$97
5;NONE;NONE;NONE
5;NONE;0;$20
5;NONE;$99;100
5;NONE;$5;NONE
5;NONE;$20;3
5;NONE;$$81;$$82
5;2;$21;2
5;101;NONE;$$81
5;100;101;NONE
5;0;NONE;0
5;0;$97;100
5;0;$20;NONE
5;$97;100;101
5;$21;NONE;NONE
5;$21;NONE;0
5;$21;3;1
5;$21;2;0
5;$20;NONE;$19
5;$20;NONE;$10
5;$20;2;$21
5;$20;$11;$21
5;$2;NONE;$0
5;$19;$10;$20
5;$19;$10;$11
5;$11;NONE;$22
5;$11;$21;NONE
5;$10;$20;$11
5;$10;$11;NONE
5;$0;NONE;$20
4;NONE;NONE;2
4;NONE;1;2
4;NONE;$10;$0
4;NONE;$0;3
4;NONE;$0;$0
4;NONE;$$81;0
4;10;NONE;$99
4;1;2;$0
4;$41;NONE;$10
4;$40;NONE;$0
4;$40;$41;NONE
4;$1;$20;NONE
4;$0;3;NONE
4;$0;$1;$20
4;$$81;$$82;NONE
3;NONE;NONE;3
3;NONE;2;2
3;NONE;10;10
3;NONE;$5;$5
3;NONE;$22;0
3;NONE;$$81;3
3;2;NONE;$0
3;2;$4;NONE
3;2;$0;NONE
3;1;$33;$21
3;1;$33;$20
3;0;NONE;$19
3;$5;$5;NONE
3;$33;$21;3
3;$33;$20;2
3;$22;0;NONE
3;$20;3;1
3;$10;$0;$1
3;$0;NONE;2
3;$0;NONE;10
3;$0;NONE;$5
3;$0;$0;$0
3;$$82;NONE;$0
3;$$81;3;NONE
2;NONE;NONE;$10
2;NONE;2;NONE
2;NONE;2;0
2;NONE;2;$0
2;NONE;1;$0
2;NONE;$40;NONE
2;NONE;$40;$41
2;NONE;$4;NONE
2;NONE;$30;$0
2;NONE;$25;$20
2;NONE;$22;NONE
2;NONE;$15;$1
2;NONE;$10;$1
2;NONE;$1;NONE
2;NONE;$$81;$40
2;3;2;$34
2;3;1;2
2;2;2;$4
2;2;$34;$21
2;2;$20;2
2;2;$0;$3
2;1;NONE;NONE
2;1;NONE;$40
2;1;2;$20
2;1;1;NONE
2;1;$0;NONE
2;0;1;NONE
2;0;0;NONE
2;0;$18;NONE
2;0;$0;NONE
2;0;$0;$0
2;$5;NONE;NONE
2;$4;NONE;$5
2;$4;NONE;$4
2;$4;NONE;$0
2;$34;$21;3
2;$30;$0;10
2;$25;$20;$1
2;$22;NONE;$19
2;$20;3;2
2;$20;0;$18
2;$20;$1;NONE
2;$2;NONE;$25
2;$18;NONE;$40
2;$15;$1;NONE
2;$10;$1;NONE
2;$1;NONE;$30
2;$1;NONE;$15
2;$1;NONE;$10
2;$0;NONE;0
2;$0;NONE;$1
2;$$81;NONE;1
2;$$81;0;1
2;$$81;0;$0
2;$$81;$40;NONE
1;NONE;NONE;$99
1;NONE;NONE;$5
1;NONE;NONE;$32
1;NONE;NONE;$12
1;NONE;NONE;$1
1;NONE;8;2
1;NONE;5;NONE
1;NONE;3;3
1;NONE;3;2
1;NONE;3;$4
1;NONE;1;1
1;NONE;0;NONE
1;NONE;0;$0
1;NONE;$8;10
1;NONE;$8;$20
1;NONE;$7;0
1;NONE;$7;$20
1;NONE;$5;1
1;NONE;$5;$6
1;NONE;$40;$5
1;NONE;$33;NONE
1;NONE;$32;$33
1;NONE;$3;$40
1;NONE;$20;NONE
1;NONE;$20;1
1;NONE;$2;10
1;NONE;$2;$0
1;NONE;$14;$0
1;NONE;$12;$3
1;NONE;$10;NONE
1;NONE;$10;$6
1;NONE;$10;$5
1;NONE;$10;$40
1;NONE;$10;$4
1;NONE;$10;$32
1;NONE;$10;$3
1;NONE;$1;1
1;NONE;$0;0
1;NONE;$0;$1
1;NONE;$$81;255
1;NONE;$$81;2
1;NONE;$$81;-1
1;NONE;$$81;$80
1;8;2;NONE
1;7;$0;1
1;5;NONE;$0
1;3;NONE;$0
1;3;3;NONE
1;3;2;$4
1;3;$4;$4
1;255;$0;NONE
1;2;NONE;1
1;2;NONE;$5
1;2;2;NONE
1;2;0;0
1;2;$0;0
1;10;NONE;NONE
1;1;NONE;8
1;1;NONE;2
1;1;NONE;$5
1;1;NONE;$33
1;1;NONE;$2
1;1;NONE;$14
1;1;0;NONE
1;1;$0;0
1;0;NONE;2
1;0;NONE;1
1;0;NONE;$7
1;0;NONE;$20
1;0;NONE;$0
1;0;7;$0
1;0;$30;NONE
1;0;$22;NONE
1;-1;NONE;$0
1;$9;NONE;$0
1;$80;$0;$0
1;$8;10;10
1;$8;$20;NONE
1;$7;0;$0
1;$7;$20;NONE
1;$6;$40;$41
1;$6;$20;NONE
1;$5;NONE;$5
1;$5;1;NONE
1;$5;$6;$20
1;$5;$40;$41
1;$41;$32;NONE
1;$41;$30;NONE
1;$40;NONE;$8
1;$40;$5;NONE
1;$40;$41;$32
1;$40;$41;$30
1;$4;$40;$41
1;$4;$4;NONE
1;$33;NONE;$20
1;$33;$30;$33
1;$33;$20;0
1;$32;NONE;NONE
1;$32;$33;$30
1;$32;$31;$32
1;$32;$20;0
1;$31;$32;$20
1;$30;NONE;NONE
1;$30;NONE;1
1;$30;$33;$20
1;$3;NONE;$5
1;$3;NONE;$0
1;$3;$9;NONE
1;$3;$40;$41
1;$3;$2;NONE
1;$22;NONE;0
1;$21;NONE;$3
1;$20;NONE;$8
1;$20;NONE;$7
1;$20;NONE;$0
1;$20;1;0
1;$2;NONE;NONE
1;$2;10;10
1;$2;$0;10
1;$14;$0;10
1;$12;$3;$9
1;$10;NONE;$0
1;$10;$6;$40
1;$10;$5;$40
1;$10;$40;NONE
1;$10;$4;$40
1;$10;$32;$31
1;$10;$3;NONE
1;$10;$0;0
1;$1;NONE;1
1;$1;NONE;$0
1;$1;1;$0
1;$0;NONE;5
1;$0;NONE;$40
1;$0;1;NONE
1;$0;1;1
1;$0;0;7
1;$0;0;0
1;$0;0;$30
1;$0;0;$22
1;$0;$3;$2
1;$0;$0;1
1;$$82;NONE;$2
1;$$82;$0;NONE
1;$$81;255;$0
1;$$81;2;NONE
1;$$81;-1;NONE
1;$$81;$80;$0
1;$$81;$$82;$0
