count;word
1215;NONE
786;100
495;$0
229;$$81
225;102
224;STOP
224;START
224;$99
107;1
81;$$83
77;$20
70;$1
62;$10
61;2
55;0
54;$3
49;114
40;3
38;255
38;$5
32;$2
24;5
19;$4
16;$6
14;110
14;$$84
13;$8
13;$32
13;$21
13;$15
10;101
10;$7
10;$30
10;$11
9;115
9;$40
8;42
8;116
7;6
6;-1
6;$9
6;$80
6;$50
6;$42
5;4
5;113
5;106
5;104
5;103
5;$97
5;$16
5;$14
5;$12
5;$$85
5;$$82
4;105
4;$33
4;$18
3;8
3;$25
3;$17
3;$$61
3;$$60
2;43
2;254
2;112
2;111
2;109
2;107
2;$82
2;$13
1;99
1;98
1;7
1;256
1;117
1;108
1;$79
1;$19
