count;word0;word2
68;$82;$0
68;$81;NONE
68;$81;$80
68;$80;$82
63;$82;STOP
63;$$82;$82
58;START;$81
57;$0;$81
39;$1;$0
36;$0;$0
32;$80;$1
30;$0;$1
27;$1;$2
21;$1;$$82
20;$33;$34
19;$1;$1
18;$80;$0
18;$0;$$82
17;$0;$2
15;$2;$$82
14;$2;$3
13;$5;$5
13;$3;$3
13;$2;$2
12;NONE;NONE
12;$20;$21
12;$2;$1
11;$10;$10
10;$34;$33
10;$34;$0
10;$21;$33
9;NONE;$81
9;$11;$10
9;$0;$5
9;$0;$10
8;$5;$1
8;$4;$4
7;$8;$9
7;$4;$3
7;$22;$20
7;$10;$9
6;$80;$5
6;$5;$3
6;$40;$81
6;$31;$30
6;$30;$32
6;$3;$5
6;$3;$2
6;$3;$0
6;$2;$0
6;$19;$19
6;$10;$12
5;START;$80
5;$9;$4
5;$9;$3
5;$8;$10
5;$40;$82
5;$3;NONE
5;$3;$1
5;$2;$11
5;$11;$8
5;$11;$$82
5;$10;$11
5;$0;$8
4;$82;$80
4;$5;$2
4;$5;$0
4;$4;$1
4;$32;$31
4;$25;$25
4;$20;$20
4;$18;$19
4;$15;$15
4;$0;$4
3;$9;$8
3;$80;$22
3;$80;$10
3;$8;$8
3;$41;$81
3;$3;$11
3;$21;$20
3;$19;$20
3;$10;$13
3;$10;$0
3;$1;$41
3;$0;$40
3;$0;$19
2;NONE;$$82
2;$9;$9
2;$80;$20
2;$80;$19
2;$33;$30
2;$32;$0
2;$30;$$82
2;$3;$10
2;$26;$30
2;$26;$26
2;$25;$31
2;$21;$22
2;$21;$21
2;$20;$26
2;$2;$10
2;$19;$22
2;$19;$16
2;$19;$15
2;$17;NONE
2;$16;$20
2;$16;$16
2;$16;$14
2;$15;$21
2;$15;$17
2;$11;$15
2;$11;$11
2;$10;$16
2;$10;$1
2;$1;$81
2;$0;$22
1;NONE;$80
1;NONE;$18
1;$9;$5
1;$9;$40
1;$9;$12
1;$9;$11
1;$9;$10
1;$82;$40
1;$80;$4
1;$80;$33
1;$8;$81
1;$8;$7
1;$8;$40
1;$8;$1
1;$8;$0
1;$7;$9
1;$7;$8
1;$7;$7
1;$7;$6
1;$7;$4
1;$7;$0
1;$6;$8
1;$6;$7
1;$6;$6
1;$6;$5
1;$6;$41
1;$6;$10
1;$6;$1
1;$5;$9
1;$5;$7
1;$5;$6
1;$5;$11
1;$41;$8
1;$41;$0
1;$40;$9
1;$40;$41
1;$4;$11
1;$33;$33
1;$33;$18
1;$32;$11
1;$31;$11
1;$30;$30
1;$30;$21
1;$30;$20
1;$30;$11
1;$3;$7
1;$3;$6
1;$22;$21
1;$22;$2
1;$22;$1
1;$21;$25
1;$21;$11
1;$20;$6
1;$20;$5
1;$20;$25
1;$20;$22
1;$20;$12
1;$2;NONE
1;$2;$9
1;$17;$18
1;$14;$8
1;$14;$40
1;$14;$17
1;$13;$6
1;$13;$5
1;$13;$4
1;$13;$10
1;$12;$33
1;$12;$32
1;$12;$31
1;$12;$30
1;$12;$3
1;$12;$12
1;$12;$11
1;$12;$1
1;$12;$0
1;$11;$13
1;$10;$7
1;$10;$5
1;$10;$3
1;$10;$2
1;$10;$18
1;$10;$14
1;$1;$6
1;$1;$40
1;$1;$3
1;$1;$11
1;$1;$10
1;$0;$33
1;$0;$21
1;$0;$20
