count;word0;word1;word2
68;$82;$80;$0
68;$81;$82;NONE
68;$81;$82;$80
68;$80;$81;$82
63;$82;NONE;STOP
63;$$82;$81;$82
58;START;$80;$81
57;$0;$$82;$81
32;$80;$0;$1
27;$0;$1;$0
25;$1;$2;$0
21;$1;$0;$$82
18;$80;$0;$0
18;$0;$1;$1
17;$0;$0;$$82
15;$2;$0;$$82
14;$0;$1;$2
13;$1;$1;$2
12;$3;$3;$3
12;$1;$2;$2
10;$33;$34;$34
10;$33;$33;$34
10;$0;$0;$1
9;$2;$1;$2
9;$1;$0;$1
8;$5;$4;$5
8;$4;$5;$4
8;$1;$2;$1
8;$0;$0;$0
7;$4;$5;$3
7;$20;$21;$21
7;$2;$3;$3
7;$2;$2;$3
7;$2;$0;$1
7;$1;$1;$0
7;$1;$0;$0
6;$80;$0;$5
6;$5;$3;$3
6;$40;$80;$81
6;$31;$32;$30
6;$30;$31;$32
6;$3;$4;$5
6;$19;$19;$19
6;$10;$9;$9
5;START;$40;$80
5;NONE;$11;NONE
5;NONE;$10;NONE
5;NONE;$$82;$81
5;$9;$9;$3
5;$9;$3;$4
5;$8;$8;$10
5;$8;$10;$9
5;$40;$81;$82
5;$34;$34;$33
5;$34;$34;$0
5;$34;$33;$33
5;$34;$0;$0
5;$3;$3;$1
5;$3;$3;$0
5;$3;$1;$2
5;$3;$0;NONE
5;$21;$33;$33
5;$21;$21;$33
5;$20;$20;$21
5;$2;$2;$1
5;$2;$0;$11
5;$11;NONE;$$82
5;$11;$8;$8
5;$11;$12;$10
5;$10;NONE;$11
5;$10;$11;$12
5;$0;NONE;$10
5;$0;$11;$8
4;NONE;$80;$81
4;$82;NONE;$80
4;$5;$5;$1
4;$5;$1;$2
4;$5;$1;$0
4;$4;$5;$1
4;$32;$30;$31
4;$25;$26;$25
4;$20;$21;$20
4;$2;$2;$2
4;$15;$16;$15
4;$10;$11;$10
4;$0;$5;$5
4;$0;$4;$5
3;$80;$0;$22
3;$80;$0;$10
3;$8;$9;$8
3;$5;$5;$5
3;$5;$1;$1
3;$41;$40;$81
3;$3;$10;$11
3;$22;$19;$20
3;$2;$1;$0
3;$19;$20;$20
3;$11;$13;$10
3;$10;$11;$13
3;$1;$0;$41
3;$0;$41;$40
3;$0;$22;$19
3;$0;$10;$10
3;$0;$0;$4
2;NONE;$0;$$82
2;$9;$8;$8
2;$80;$0;$20
2;$80;$0;$19
2;$5;$6;$5
2;$32;$30;$0
2;$30;$0;$$82
2;$3;$3;$10
2;$26;$25;$30
2;$26;$25;$26
2;$25;$30;$31
2;$22;$22;$20
2;$22;$20;$20
2;$21;$20;$21
2;$20;$25;$26
2;$2;$2;$0
2;$19;$22;$22
2;$19;$19;$15
2;$19;$15;$16
2;$18;$19;$19
2;$18;$18;$19
2;$17;$14;NONE
2;$16;$17;$14
2;$16;$15;$20
2;$16;$15;$16
2;$15;$20;$21
2;$15;$16;$17
2;$11;$10;$15
2;$11;$10;$11
2;$10;$15;$16
2;$10;$10;$0
2;$1;$1;$1
2;$1;$0;$2
2;$0;$5;$1
2;$0;$2;$2
2;$0;$19;$22
1;NONE;$41;NONE
1;NONE;$40;NONE
1;NONE;$40;$80
1;NONE;$17;$18
1;$9;$9;$9
1;$9;$9;$8
1;$9;$9;$10
1;$9;$8;$9
1;$9;$8;$40
1;$9;$3;$5
1;$9;$12;$12
1;$9;$10;$11
1;$82;NONE;$40
1;$80;$0;$4
1;$80;$0;$33
1;$8;$8;$9
1;$8;$8;$40
1;$8;$8;$0
1;$8;$7;$7
1;$8;$40;$9
1;$8;$40;$81
1;$8;$0;$1
1;$7;NONE;$0
1;$7;$8;$9
1;$7;$8;$7
1;$7;$7;$8
1;$7;$6;$6
1;$7;$10;$4
1;$6;$7;$8
1;$6;$7;$6
1;$6;$6;$7
1;$6;$5;$5
1;$6;$5;$10
1;$6;$5;$1
1;$6;$14;$41
1;$5;$6;$7
1;$5;$5;$6
1;$5;$3;$1
1;$5;$10;$9
1;$5;$10;$11
1;$41;NONE;$0
1;$41;$8;$8
1;$40;NONE;$41
1;$40;$9;$9
1;$4;$10;$11
1;$33;$33;$33
1;$33;$33;$30
1;$33;$30;$30
1;$33;$18;$18
1;$32;$10;$11
1;$31;$10;$11
1;$30;$30;$30
1;$30;$30;$20
1;$30;$20;$21
1;$30;$10;$11
1;$3;$9;$3
1;$3;$5;$6
1;$3;$3;$2
1;$3;$2;$7
1;$3;$1;$0
1;$22;$22;$1
1;$22;$20;$21
1;$22;$1;$2
1;$21;$22;$22
1;$21;$22;$20
