count;word0;word1
231;mov;mov
72;lps;mov
69;mov;lps
69;add;lpe
67;mov;f11
62;add;add
59;mov;add
57;lpe;STOP
57;START;mov
49;f11;mov
45;mov;f21
45;f21;mov
28;f31;mov
26;mov;f31
16;f11;f11
12;div;mov
9;f21;f21
8;lpe;mov
7;mov;mul
7;cmp;mov
6;pow;mov
6;mov;pow
6;mov;div
6;mov;cmp
6;lpe;add
6;f11;f21
6;f11;div
5;mul;mul
5;mul;f31
5;f11;mul
4;f21;add
3;sub;mov
3;mul;mov
3;mul;f41
3;f41;lpe
3;f31;cmp
3;f21;f11
3;f11;sub
3;div;div
3;cmp;lps
1;mul;cmp
1;mul;add
1;mov;f12
1;lpe;f11
1;f31;f21
1;f12;mov
1;f11;f31
1;f11;cmp
1;cmp;mul
1;cmp;cmp
1;add;mov
