count;word0;word1;word2
91;mov;mov;mov
69;mov;mov;lps
69;mov;lps;mov
62;add;add;lpe
59;mov;add;add
57;add;lpe;STOP
57;START;mov;mov
50;lps;mov;mov
36;mov;f11;mov
32;mov;f21;mov
29;mov;mov;f11
22;mov;f31;mov
22;lps;mov;f11
20;mov;mov;f31
19;f11;mov;add
18;f21;mov;add
17;mov;mov;f21
17;f31;mov;add
17;f21;mov;f21
15;mov;f11;f11
11;f11;mov;mov
9;f11;mov;f11
9;f11;f11;mov
8;add;lpe;mov
7;mov;f21;f21
7;f31;mov;mov
7;f21;mov;mov
7;f21;f21;mov
6;mov;pow;mov
6;mov;f11;f21
6;mov;div;mov
6;mov;cmp;mov
6;lpe;add;lpe
6;f11;f21;mov
6;cmp;mov;div
5;mul;mul;f31
5;mul;f31;mov
5;lpe;mov;mov
5;f11;mul;mul
4;f31;mov;f21
4;f11;mov;f21
3;sub;mov;f11
3;pow;mov;pow
3;pow;mov;f31
3;mul;mov;mul
3;mul;f41;lpe
3;mov;mul;mov
3;mov;mul;f41
3;mov;mov;mul
3;mov;f31;cmp
3;mov;f21;f11
3;mov;f21;add
3;mov;f11;sub
3;mov;f11;mul
3;mov;f11;div
3;lpe;mov;add
3;f41;lpe;add
3;f21;mov;f11
3;f21;f11;mov
3;f21;add;add
3;f11;sub;mov
3;f11;mov;f31
3;f11;mov;cmp
3;f11;f11;div
3;f11;div;mov
3;f11;div;div
3;div;mov;pow
3;div;mov;f21
3;div;mov;cmp
3;div;div;mov
3;cmp;lps;mov
3;add;lpe;add
2;f31;cmp;lps
2;f21;f21;f21
2;f11;f11;mul
2;div;mov;mov
1;mul;cmp;mul
1;mul;add;mov
1;mov;mul;cmp
1;mov;mov;f12
1;mov;mov;add
1;mov;f31;f21
1;mov;f12;mov
1;mov;f11;cmp
1;lpe;f11;mov
1;f31;f21;add
1;f31;cmp;cmp
1;f21;add;lpe
1;f12;mov;add
1;f11;f31;mov
1;f11;f11;f31
1;f11;f11;f11
1;f11;cmp;mov
1;div;mov;f11
1;cmp;mul;add
1;cmp;mov;mul
1;cmp;cmp;lps
1;add;mov;mov
1;add;lpe;f11
