count;word0;word1;word2
62;add $81,10;add $82,10;lpe
57;mov $82,102;lps $80;mov $0,$$81
57;mov $81,100;mov $82,102;lps $80
57;mov $80,$99;mov $81,100;mov $82,102
57;mov $$82,$0;add $81,10;add $82,10
57;add $82,10;lpe;STOP
52;START;mov $80,$99;mov $81,100
14;lps $80;mov $0,$$81;mov $1,$0
7;lps $80;mov $0,$$81;f11 $0,101160
6;cmp $33,3;mov $34,1;div $34,$33
5;mov $82,101;lps $80;mov $0,$$81
5;mov $81,100;mov $82,101;lps $80
5;mov $80,$97;mov $81,100;mov $82,101
5;mov $40,0;mov $80,$97;mov $81,100
5;lps $80;mov $0,$$81;mov $5,$0
5;lps $80;mov $0,$$81;mov $1,$$82
5;f31 $0,101200;mov $$82,$0;add $81,10
5;f11 $0,101140;mov $$82,$0;add $81,10
5;START;mov $40,0;mov $80,$97
4;mov $0,$$81;mov $1,$0;mov $2,$0
4;mov $0,$$81;mov $1,$0;f11 $1,101190
4;lpe;mov $80,$99;mov $81,100
4;f31 $0,101051;mov $$82,$0;add $81,10
4;f21 $0,101170;mov $$82,$0;add $81,10
4;f21 $0,101052;mov $$82,$0;add $81,10
4;f21 $0,101040;mov $$82,$0;add $81,10
4;add $82,10;lpe;mov $80,$99
3;pow $1,2;mov $2,0;f31 $0,101010
3;pow $0,2;mov $1,$21;pow $1,2
3;mul $3,$21;f41 $0,101151;lpe
3;mul $2,$5;f31 $0,101200;mov $$82,$0
3;mul $2,$20;mov $3,$11;mul $3,$21
3;mul $1,$5;mul $2,$5;f31 $0,101200
3;mov $9,$20;lps $9;mov $3,$19
3;mov $8,$21;lps $8;mov $10,0
3;mov $5,$11;f31 $3,101002;cmp $3,$22
3;mov $5,$0;f11 $4,101000;f11 $5,101001
3;mov $41,$0;f21 $40,101030;add $81,10
3;mov $4,$10;mov $5,$11;f31 $3,101002
3;mov $4,$0;mov $5,$0;f11 $4,101000
3;mov $34,1;div $34,$33;mov $33,$21
3;mov $34,1;div $34,$33;mov $0,$20
3;mov $33,$21;cmp $33,3;mov $34,1
3;mov $33,$20;cmp $33,3;mov $34,1
3;mov $3,$19;mov $4,$10;mov $5,$11
3;mov $3,$11;mul $3,$21;f41 $0,101151
3;mov $21,$0;f11 $21,101000;mov $33,$20
3;mov $20,$0;f11 $20,101000;mov $21,$0
3;mov $2,0;f31 $0,101010;mov $11,0
3;mov $2,$10;mul $2,$20;mov $3,$11
3;mov $2,$0;f11 $2,101001;mul $1,$5
3;mov $11,0;mov $8,$21;lps $8
3;mov $10,0;mov $9,$20;lps $9
3;mov $1,$40;f21 $0,101052;mov $$82,$0
3;mov $1,$21;pow $1,2;mov $2,0
3;mov $1,$19;mov $2,$10;mul $2,$20
3;mov $1,$0;f11 $1,101000;mov $2,$0
3;mov $0,$20;pow $0,2;mov $1,$21
3;mov $0,$$81;mov $5,$0;f11 $5,101240
3;mov $0,$$81;mov $1,$0;f11 $1,101060
3;mov $0,$$81;f11 $0,102001;mov $$82,$0
3;mov $0,$$81;f11 $0,102000;mov $$82,$0
3;mov $0,$$81;f11 $0,101160;mov $4,$0
3;lps $9;mov $3,$19;mov $4,$10
