count;word0;word1
80;NONE;$0
62;NONE;$$81
62;10;NONE
62;10;10
57;NONE;STOP
57;102;NONE
57;100;102
57;$99;100
57;$0;10
52;START;$99
50;$0;NONE
40;NONE;NONE
26;$$81;$0
22;$$81;NONE
21;1;NONE
18;NONE;1
13;$0;$0
10;NONE;$5
9;NONE;2
9;0;NONE
9;$5;NONE
8;NONE;0
7;3;NONE
7;$20;NONE
6;NONE;$19
6;3;1
6;1;$33
6;$21;NONE
6;$19;$10
5;START;0
5;NONE;$99
5;NONE;$20
5;2;NONE
5;2;0
5;101;NONE
5;100;101
5;0;$97
5;$97;100
5;$40;NONE
5;$$81;$$82
4;$4;NONE
4;$0;3
4;$$82;NONE
3;NONE;10
3;NONE;$40
3;NONE;$22
3;NONE;$10
3;NONE;$1
3;2;2
3;2;$4
3;2;$21
3;1;$0
3;0;$21
3;0;$20
3;0;$0
3;$5;$5
3;$33;$21
3;$33;$20
3;$21;3
3;$21;2
3;$20;3
3;$20;2
3;$20;$11
3;$11;NONE
3;$11;$21
3;$10;$20
3;$10;$11
3;$0;0
3;$$81;0
2;NONE;3
2;NONE;$8
2;NONE;$7
2;NONE;$2
2;2;$0
2;1;1
2;0;1
2;0;0
2;$3;NONE
2;$22;NONE
2;$1;NONE
2;$0;1
2;$$81;3
2;$$81;$40
1;NONE;8
1;NONE;5
1;NONE;$4
1;NONE;$33
1;NONE;$12
1;8;2
1;7;$0
1;5;NONE
1;3;3
1;3;2
1;1;0
1;0;7
1;0;$30
1;-1;NONE
1;$9;NONE
1;$8;10
1;$8;$20
1;$7;0
1;$7;$20
1;$6;$20
1;$5;1
1;$5;$6
1;$40;$5
1;$33;NONE
1;$30;NONE
1;$3;$9
1;$22;0
1;$20;1
1;$2;10
1;$2;$0
1;$12;$3
1;$10;NONE
1;$10;$40
1;$10;$3
1;$1;1
1;$0;$3
1;$$82;$0
1;$$81;2
1;$$81;-1
